Format :             2																																																
Data set :           Main Set - As Loaded																																																
Original data file : C:\Users\sm3658\Desktop\test.txt										459.2565683
"Created on :         Wednesday, April 22, 2020"																																																

Time (*)             	FX Time (*)          	Channel              	Parametric 1         	Risetime             	Counts to Peak       	Counts               	Energy               	Duration             	Amplitude            	ASL                  	Threshold            	Average Frequency    	RMS(16)              	Reverberation Frequency 	Initiation Frequency 	Signal Strength      	Absolute Energy      	Partial Power 1      	Partial Power 2      	Partial Power 3      	Partial Power 4      	Frequency Centroid   	Peak Frequency       	Duration (FX)        	Amplitude (FX)       	Counts to Peak (FX)  	Counts (FX)          	Energy (FX)          	Absolute Energy (FX) 	Signal Strength (FX) 	Amplitude mV (FX)    	Risetime (FX)        	Rise Angle (FX)      	Decay Angle (FX)     	Average Frequency (FX) 	Reverberation Frequency (FX) 	Initiation Frequency (FX) 	Zero Crossings (FX)  	Zero Crossings Frequency (FX) 	Non Dimentional Amplitude (FX) 	FFT Amplitude (FX)   	FFT Peak Frequency (FX) 	FFT Width @10% (FX)  	FFT Width @30% (FX)  	FFT Crossings @30% (FX) 	Frequency Centroid (FX) 	Peak Frequency (FX)  	Peak Power (FX)     
66.9808065	66.98065625	2	0.44343394	38	3	77	55	1919	57	46	50	40	0.22888882	39	78	246989	5128.3296	66	17	17	0	300	151	747.59998	57.186234	12	35	1.6910737	2326.8425	105556.2	0.72328866	189.39999	0.21170092	0.072794989	46.816479	41.203869	63.357971	354	236.75763	5.1226797	22.062578	153.80859	391.8457	101.31836	5	376.18805	153.80859	52.687725
67.129055	67.12891275	2	0.44404432	394	18	60	53	1904	57	46	50	32	0.22583698	27	45	236295.7	4794.6255	69	18	13	0	294	151	797.20001	57.222805	20	37	1.7945204	2531.6013	112013.3	0.72634053	537.40002	0.076166615	0.15656516	46.412445	65.434952	37.216225	366	229.55344	5.169374	24.350773	153.80859	401.61133	302.73438	6	293.36057	153.80859	53.544857
68.3175045	68.31738575	2	0.4547258	434	25	65	54	1985	58	46	50	33	0.22888882	25	57	241349.55	4874.147	73	12	15	0	298	151	746	58.123344	25	38	1.7003241	2433.2622	106133.61	0.80568868	553.79999	0.088153191	0.24936184	50.938339	67.637878	45.142651	355	237.93565	5.6630859	20.214016	153.80859	427.24609	352.7832	10	306.53204	153.80859	51.927654
69.58682125	69.586681	2	0.46113467	887	56	118	69	1988	57	46	50	59	0.22583698	56	63	306500.59	7525.3188	74	11	15	0	301	151	802.79999	55.081524	24	47	1.9688417	2854.9331	122894.38	0.5676443	525.40002	0.047815926	0.090386257	58.545094	82.912758	45.679482	365	227.32935	3.7081015	27.254875	153.80859	378.41797	13.427734	2	313.62463	153.80859	54.523483
69.95360025	69.9534725	2	0.46632284	900	33	56	52	1970	57	46	50	28	0.22583698	21	36	232022.66	4552.0278	54	23	23	0	313	151	709.79999	53.328136	2	8	1.0438643	959.7923	65157.629	0.46388134	72.800003	0.20010644	0.023175376	11.270781	9.4191523	27.472527	385	271.20316	5.0533299	9.0944929	152.58789	477.29492	385.74219	22	354.25452	152.58789	44.99017
70.09611925	70.096035	2	0.46540728	636	40	124	69	1973	57	46	50	63	0.22583698	62	62	307595.56	7592.4868	71	13	16	0	299	151	752.40002	57.545204	40	44	1.8150357	2733.074	113293.86	0.75380719	721.20001	0.060599506	0.95138979	58.47953	128.20512	55.463116	339	225.27911	5.0061364	30.290865	155.0293	395.50781	8.5449219	3	315.35947	155.0293	55.440834
70.21132175	70.21122075	2	0.46540728	618	19	69	56	1995	57	46	50	35	0.22583698	36	30	250368.41	4963.4429	64	22	14	0	309	156	770	54.65073	14	21	1.4527521	1684.2671	90680.258	0.54017764	578.59998	0.03868616	0.11647658	27.272728	36.572624	24.196337	381	247.4026	4.5868502	16.470644	153.80859	427.24609	48.828125	7	360.00278	153.80859	50.148811
70.4389515	70.43883475	2	0.46845913	1332	46	81	56	1919	57	46	50	42	0.22583698	59	34	249154.5	5336.6724	48	25	27	0	309	156	768.20001	53.213093	17	18	1.4222139	1604.1917	88774.07	0.45777765	726.79999	0.019473305	0.32944772	23.431398	24.154589	23.390203	428	278.5733	3.9613457	11.386683	153.80859	461.42578	390.625	18	321.81693	153.80859	46.942547
71.06647275	71.066326	2	0.47334209	687	31	91	59	1992	57	46	50	46	0.22583698	46	45	264023.25	5599.3452	64	13	22	0	305	151	803.59998	55.128098	15	28	1.5604134	1924.2231	97400.43	0.57069612	501.60001	0.050687876	0.084062479	34.843204	43.046356	29.904306	440	273.76804	4.7085152	11.98197	155.0293	452.88086	375.97656	22	319.23416	155.0293	47.385166
71.35075625	71.35061825	2	0.47334209	1781	72	83	57	1946	57	46	50	43	0.22888882	66	40	254449.3	5440.522	65	17	17	0	300	156	804.40002	55.311935	15	33	1.6841993	2183.3245	105127.11	0.5829035	351	0.075830318	0.058749203	41.024364	39.700043	42.735043	394	244.90303	4.460197	15.758123	153.80859	421.14258	349.12109	11	342.53922	153.80859	49.76469
